NUM_OF_TRIANGLES 12

// Geometry format = position (x y z), texture (u v)

// front
-5000.0, -5000.0, 5000.0,	0.0, 1.0
+5000.0, -5000.0, 5000.0,	1.0, 1.0
+5000.0, +5000.0, 5000.0,	1.0, 0.0

+5000.0, +5000.0, 5000.0,	1.0, 0.0
-5000.0, +5000.0, 5000.0,	0.0, 0.0
-5000.0, -5000.0, 5000.0,	0.0, 1.0

// top
-5000.0, +5000.0, +5000.0,	0.0, 1.0
+5000.0, +5000.0, +5000.0,	1.0, 1.0
+5000.0, +5000.0, -5000.0,	1.0, 0.0

+5000.0, +5000.0, -5000.0,	1.0, 0.0
-5000.0, +5000.0, -5000.0,	0.0, 0.0
-5000.0, +5000.0, +5000.0,	0.0, 1.0

// right
+5000.0, -5000.0, +5000.0,	0.0, 1.0
+5000.0, -5000.0, -5000.0,	1.0, 1.0
+5000.0, +5000.0, -5000.0,	1.0, 0.0

+5000.0, +5000.0, -5000.0,	1.0, 0.0
+5000.0, +5000.0, +5000.0,	0.0, 0.0
+5000.0, -5000.0, +5000.0,	0.0, 1.0

// left
-5000.0, -5000.0, -5000.0,	0.0, 1.0
-5000.0, -5000.0, +5000.0,	1.0, 1.0
-5000.0, +5000.0, +5000.0,	1.0, 0.0

-5000.0, +5000.0, +5000.0,	1.0, 0.0
-5000.0, +5000.0, -5000.0,	0.0, 0.0
-5000.0, -5000.0, -5000.0,	0.0, 1.0

// bottom
-5000.0, -5000.0, +5000.0,	0.0, 1.0
+5000.0, -5000.0, +5000.0,	1.0, 1.0
+5000.0, -5000.0, -5000.0,	1.0, 0.0

+5000.0, -5000.0, -5000.0,	1.0, 0.0
-5000.0, -5000.0, -5000.0,	0.0, 0.0
-5000.0, -5000.0, +5000.0,	0.0, 1.0

// back
-5000.0, -5000.0, -5000.0,	0.0, 1.0
+5000.0, -5000.0, -5000.0,	1.0, 1.0
+5000.0, +5000.0, -5000.0,	1.0, 0.0

+5000.0, +5000.0, -5000.0,	1.0, 0.0
-5000.0, +5000.0, -5000.0,	0.0, 0.0
-5000.0, -5000.0, -5000.0,	0.0, 1.0

